permit_number,issue_date,estimated_completion,city,state,county,fips_code,latitude,longitude,permit_type,zoning_classification,square_footage,project_valuation,status,contractor_licensed,environmental_review,flood_zone,nearest_epa_station,data_source,public_record
BP-2025116,2026-04-10,2027-07-19,Wichita,KS,Sedgwick,20173,36.476296,-96.904933,Industrial Build-Out,C-1 Neighborhood Commercial,56796,17448713.18,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025117,2025-06-29,2026-09-26,Broken Arrow,OK,Tulsa,40143,35.567143,-96.594051,Retail Complex,PUD Planned Unit Development,62293,11745629.29,Completed,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025118,2026-02-04,2026-11-04,Tulsa,OK,Tulsa,40143,35.770419,-96.433017,Mixed-Use Development,I-2 Heavy Industrial,50142,10921657.02,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025119,2025-10-12,2026-10-07,Norman,OK,Cleveland,40027,36.874689,-96.301731,Medical Facility,C-1 Neighborhood Commercial,66430,20672544.47,Completed,Yes,Pending,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025120,2025-05-05,2026-01-05,Wichita,KS,Sedgwick,20173,36.617864,-95.957048,Food Processing Facility,I-2 Heavy Industrial,45910,4333366.81,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025121,2026-05-29,2027-10-25,Broken Arrow,OK,Tulsa,40143,36.570494,-95.941745,Commercial Renovation,C-1 Neighborhood Commercial,8613,2737887.77,Issued,Pending,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025122,2025-07-02,2026-11-18,Oklahoma City,OK,Oklahoma,40109,36.460297,-97.068945,Warehouse/Distribution,I-1 Light Industrial,81580,13069326.88,Completed,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025123,2025-10-01,2026-11-10,Norman,OK,Cleveland,40027,35.759077,-96.7239,Commercial Renovation,I-1 Light Industrial,68055,17806941.69,Issued,Yes,Pending,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025124,2025-04-19,2026-05-17,Wichita,KS,Sedgwick,20173,35.365084,-96.096855,Office Park,I-1 Light Industrial,41631,6884044.5,Under Review,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025125,2026-03-15,2027-05-26,Oklahoma City,OK,Oklahoma,40109,36.955046,-96.106529,Commercial Renovation,C-1 Neighborhood Commercial,5713,534648.29,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025126,2025-02-24,2025-10-31,Wichita,KS,Sedgwick,20173,35.511247,-96.664593,Industrial Build-Out,C-2 General Commercial,12913,3921629.2,Completed,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025127,2026-05-12,2026-11-20,Wichita,KS,Sedgwick,20173,37.5114,-95.940126,Industrial Build-Out,I-2 Heavy Industrial,23299,6781251.94,Issued,Yes,Passed,Zone X,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025128,2025-08-12,2026-07-01,Norman,OK,Cleveland,40027,36.402086,-97.567724,Retail Complex,I-2 Heavy Industrial,37732,5128506.93,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025129,2026-03-06,2026-12-10,Wichita,KS,Sedgwick,20173,36.085826,-97.406177,Mixed-Use Development,I-2 Heavy Industrial,66873,7117643.53,Under Review,Yes,Pending,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025130,2026-05-15,2027-02-09,Broken Arrow,OK,Tulsa,40143,37.169447,-96.875665,Medical Facility,C-1 Neighborhood Commercial,31208,7691375.83,Completed,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025131,2025-11-08,2026-10-22,Norman,OK,Cleveland,40027,37.112236,-97.363228,Data Center,M-1 Medical District,17054,1922833.74,Under Review,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025132,2025-10-27,2027-01-25,Broken Arrow,OK,Tulsa,40143,36.599724,-96.931733,Food Processing Facility,M-1 Medical District,16361,3536252.76,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025133,2025-06-12,2026-04-10,Tulsa,OK,Tulsa,40143,36.396253,-97.3429,New Commercial Construction,PUD Planned Unit Development,82539,23974372.24,Completed,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025134,2025-07-07,2026-09-26,Tulsa,OK,Tulsa,40143,35.622743,-96.299544,Medical Facility,M-1 Medical District,48999,15495825.72,Under Review,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025135,2025-11-16,2027-02-03,Wichita,KS,Sedgwick,20173,36.261261,-96.453465,Office Park,I-1 Light Industrial,40811,3893371.72,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025136,2025-05-14,2025-08-08,Broken Arrow,OK,Tulsa,40143,37.089112,-97.685696,New Commercial Construction,C-2 General Commercial,66666,7859350.81,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025137,2026-04-21,2026-09-12,Wichita,KS,Sedgwick,20173,36.797677,-97.243859,Data Center,M-1 Medical District,29211,3739146.95,Issued,Pending,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025138,2025-11-04,2027-02-01,Tulsa,OK,Tulsa,40143,36.398492,-96.201372,Warehouse/Distribution,PUD Planned Unit Development,67934,11700755.95,Under Review,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025139,2025-06-29,2025-10-12,Oklahoma City,OK,Oklahoma,40109,37.227805,-96.258886,Office Park,C-2 General Commercial,36513,4304899.45,Issued,Pending,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025140,2025-02-09,2026-05-30,Wichita,KS,Sedgwick,20173,35.699149,-96.671913,Industrial Build-Out,I-2 Heavy Industrial,6624,1874204.25,Issued,Yes,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025141,2025-03-15,2025-10-24,Norman,OK,Cleveland,40027,36.924328,-96.584729,New Commercial Construction,C-1 Neighborhood Commercial,9413,1332491.87,Under Review,Yes,Pending,Zone X,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025142,2025-11-15,2026-03-18,Oklahoma City,OK,Oklahoma,40109,36.953759,-97.067192,Commercial Renovation,C-1 Neighborhood Commercial,10312,3055042.81,Completed,Yes,Pending,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025143,2026-04-07,2027-06-04,Oklahoma City,OK,Oklahoma,40109,35.352458,-97.170023,Warehouse/Distribution,I-2 Heavy Industrial,36730,7338462.34,Under Review,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025144,2026-01-21,2026-07-27,Oklahoma City,OK,Oklahoma,40109,35.483116,-96.391896,Medical Facility,C-2 General Commercial,7986,2090783.06,Issued,Yes,Passed,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025145,2026-06-01,2027-01-14,Oklahoma City,OK,Oklahoma,40109,36.358387,-96.239909,Office Park,I-2 Heavy Industrial,65598,13568096.99,Completed,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025146,2025-05-27,2026-11-02,Norman,OK,Cleveland,40027,37.494701,-96.682618,Industrial Build-Out,M-1 Medical District,5494,686348.59,Under Review,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025147,2026-02-06,2026-10-09,Wichita,KS,Sedgwick,20173,37.550417,-96.547768,Data Center,I-2 Heavy Industrial,65927,14350069.99,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025148,2026-04-14,2027-01-08,Wichita,KS,Sedgwick,20173,36.623616,-96.387854,Mixed-Use Development,C-1 Neighborhood Commercial,49997,10725654.75,Under Review,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025149,2025-12-18,2027-05-16,Oklahoma City,OK,Oklahoma,40109,36.238933,-97.500603,Commercial Renovation,C-2 General Commercial,3397,581117.78,Under Review,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025150,2025-03-10,2026-04-04,Wichita,KS,Sedgwick,20173,35.6311,-96.530355,Medical Facility,C-2 General Commercial,50314,14043360.86,Issued,Yes,Pending,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025151,2025-09-06,2025-11-21,Broken Arrow,OK,Tulsa,40143,37.686986,-96.306447,Medical Facility,I-1 Light Industrial,53989,17238142.85,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025152,2025-02-20,2026-05-03,Norman,OK,Cleveland,40027,37.611639,-96.953366,Food Processing Facility,I-2 Heavy Industrial,42536,13018119.2,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025153,2025-05-08,2026-03-26,Oklahoma City,OK,Oklahoma,40109,37.312426,-96.18891,Commercial Renovation,C-1 Neighborhood Commercial,75911,11089594.87,Under Review,Yes,Pending,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025154,2025-09-28,2026-02-24,Oklahoma City,OK,Oklahoma,40109,35.966225,-97.302219,Commercial Renovation,I-1 Light Industrial,69102,15309310.86,Completed,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025155,2025-12-03,2026-09-08,Tulsa,OK,Tulsa,40143,37.457194,-97.388001,Retail Complex,PUD Planned Unit Development,27638,3437909.89,Issued,Yes,Pending,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025156,2025-03-11,2026-02-28,Oklahoma City,OK,Oklahoma,40109,37.332968,-95.893438,Industrial Build-Out,I-1 Light Industrial,28692,4689513.5,Under Review,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025157,2025-12-02,2026-07-27,Norman,OK,Cleveland,40027,36.243025,-97.382532,Office Park,M-1 Medical District,4496,632574.14,Under Review,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025158,2025-10-13,2025-12-28,Tulsa,OK,Tulsa,40143,35.834406,-96.214795,Mixed-Use Development,I-1 Light Industrial,81137,20755250.25,Issued,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025159,2025-04-10,2026-07-20,Broken Arrow,OK,Tulsa,40143,37.018577,-97.704096,Data Center,C-1 Neighborhood Commercial,45067,11002091.7,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025160,2026-05-02,2027-01-17,Norman,OK,Cleveland,40027,36.25953,-96.514698,Medical Facility,C-2 General Commercial,11795,2535068.98,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025161,2026-01-19,2027-05-16,Norman,OK,Cleveland,40027,35.388876,-97.488186,Food Processing Facility,C-1 Neighborhood Commercial,80306,10878850.56,Completed,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025162,2026-04-02,2026-08-17,Broken Arrow,OK,Tulsa,40143,36.377956,-97.486626,Office Park,I-2 Heavy Industrial,71145,6248728.85,Issued,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025163,2025-12-07,2026-08-01,Tulsa,OK,Tulsa,40143,37.055635,-96.010653,Mixed-Use Development,M-1 Medical District,69129,11312266.58,Under Review,Pending,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025164,2025-06-26,2025-10-12,Oklahoma City,OK,Oklahoma,40109,37.032433,-96.944631,Warehouse/Distribution,PUD Planned Unit Development,35116,10632000.25,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025165,2025-01-23,2025-12-17,Broken Arrow,OK,Tulsa,40143,35.489095,-96.820057,Office Park,PUD Planned Unit Development,76724,8867845.79,Issued,Pending,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025166,2026-01-07,2026-03-21,Broken Arrow,OK,Tulsa,40143,35.573839,-97.659715,Medical Facility,I-2 Heavy Industrial,84755,9140668.84,Under Review,Yes,Passed,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025167,2025-03-25,2025-09-06,Tulsa,OK,Tulsa,40143,36.400659,-96.715327,Warehouse/Distribution,PUD Planned Unit Development,40115,4050099.78,Under Review,Yes,Pending,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025168,2025-02-20,2025-08-09,Wichita,KS,Sedgwick,20173,36.991439,-96.010069,Commercial Renovation,I-2 Heavy Industrial,76058,18200303.93,Completed,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025169,2025-03-21,2026-04-10,Norman,OK,Cleveland,40027,35.92829,-96.101439,Mixed-Use Development,PUD Planned Unit Development,17773,3980568.71,Issued,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025170,2026-03-05,2027-04-14,Norman,OK,Cleveland,40027,37.789811,-95.846337,Office Park,M-1 Medical District,42702,12524451.02,Completed,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025171,2025-03-17,2025-12-18,Oklahoma City,OK,Oklahoma,40109,37.544288,-96.899881,Medical Facility,I-1 Light Industrial,29948,5149191.06,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025172,2025-02-14,2026-07-30,Broken Arrow,OK,Tulsa,40143,36.231743,-95.89772,Industrial Build-Out,PUD Planned Unit Development,18645,1754033.56,Under Review,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025173,2026-05-22,2027-03-25,Wichita,KS,Sedgwick,20173,36.720014,-97.308583,Data Center,C-1 Neighborhood Commercial,57271,10854480.18,Completed,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025174,2025-12-15,2026-06-28,Tulsa,OK,Tulsa,40143,37.719979,-97.357624,Data Center,C-2 General Commercial,12939,4080035.85,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025175,2026-03-25,2026-11-17,Tulsa,OK,Tulsa,40143,37.171798,-97.266819,Data Center,C-2 General Commercial,58275,11822766.82,Under Review,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025176,2025-04-23,2026-01-11,Wichita,KS,Sedgwick,20173,36.622242,-97.723772,Commercial Renovation,PUD Planned Unit Development,9378,1980626.95,Completed,Yes,Pending,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025177,2025-09-13,2026-09-22,Tulsa,OK,Tulsa,40143,36.364328,-97.416149,Commercial Renovation,I-1 Light Industrial,30584,6204995.78,Completed,Yes,Pending,Zone X,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025178,2025-02-15,2025-06-15,Norman,OK,Cleveland,40027,37.065724,-97.7465,Commercial Renovation,C-1 Neighborhood Commercial,41680,4024840.66,Completed,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025179,2025-09-13,2025-12-16,Broken Arrow,OK,Tulsa,40143,36.728206,-97.520965,Medical Facility,PUD Planned Unit Development,56629,17109837.9,Completed,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025180,2025-01-23,2025-06-23,Wichita,KS,Sedgwick,20173,37.143635,-97.289762,New Commercial Construction,C-2 General Commercial,45424,12401157.47,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025181,2025-06-08,2026-08-29,Oklahoma City,OK,Oklahoma,40109,35.505659,-96.255797,Mixed-Use Development,I-2 Heavy Industrial,10834,1275813.61,Issued,Yes,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025182,2026-01-15,2026-04-30,Tulsa,OK,Tulsa,40143,36.692763,-96.826256,Commercial Renovation,PUD Planned Unit Development,76933,9981742.5,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025183,2025-05-22,2026-04-12,Norman,OK,Cleveland,40027,35.349888,-95.805808,Warehouse/Distribution,PUD Planned Unit Development,74362,9797678.87,Completed,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025184,2025-06-10,2025-07-20,Broken Arrow,OK,Tulsa,40143,36.531308,-95.994976,Industrial Build-Out,C-1 Neighborhood Commercial,20429,2482752.45,Issued,Yes,Passed,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025185,2026-06-10,2027-01-20,Tulsa,OK,Tulsa,40143,37.234146,-96.813384,Medical Facility,C-2 General Commercial,80114,17881898.04,Completed,Yes,Pending,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025186,2025-08-29,2025-11-06,Wichita,KS,Sedgwick,20173,37.410046,-96.246836,Warehouse/Distribution,C-2 General Commercial,46057,12218772.75,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025187,2026-05-01,2026-09-13,Norman,OK,Cleveland,40027,37.563549,-96.672818,Data Center,I-1 Light Industrial,21885,4415338.8,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025188,2025-07-15,2025-08-27,Norman,OK,Cleveland,40027,36.824643,-97.639911,Office Park,C-1 Neighborhood Commercial,15593,2961940.7,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025189,2025-08-18,2025-12-01,Tulsa,OK,Tulsa,40143,36.096086,-95.966774,Data Center,I-1 Light Industrial,24766,2776241.18,Issued,Yes,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025190,2025-08-15,2026-04-01,Norman,OK,Cleveland,40027,37.122557,-96.820896,Data Center,M-1 Medical District,69138,8930506.94,Under Review,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025191,2025-05-29,2026-04-26,Tulsa,OK,Tulsa,40143,37.134885,-96.636331,Mixed-Use Development,PUD Planned Unit Development,66637,13844567.93,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025192,2025-10-21,2026-01-05,Wichita,KS,Sedgwick,20173,36.894778,-97.278577,Medical Facility,PUD Planned Unit Development,51097,8377969.57,Under Review,Yes,Pending,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025193,2025-01-23,2025-09-05,Oklahoma City,OK,Oklahoma,40109,37.166978,-96.263896,New Commercial Construction,C-2 General Commercial,31409,9435740.5,Completed,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025194,2025-05-28,2025-12-16,Wichita,KS,Sedgwick,20173,36.543031,-97.111181,Data Center,C-1 Neighborhood Commercial,82595,8766488.35,Under Review,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025195,2025-01-10,2025-12-23,Tulsa,OK,Tulsa,40143,36.175783,-96.874397,Food Processing Facility,C-1 Neighborhood Commercial,25439,2407435.33,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025196,2026-04-04,2026-05-24,Wichita,KS,Sedgwick,20173,37.718077,-97.612286,Food Processing Facility,M-1 Medical District,12595,1238697.06,Completed,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025197,2025-07-11,2025-10-07,Oklahoma City,OK,Oklahoma,40109,35.871519,-96.04466,Warehouse/Distribution,C-1 Neighborhood Commercial,3444,918445.28,Issued,Yes,Passed,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025198,2026-02-10,2026-08-14,Tulsa,OK,Tulsa,40143,36.869763,-97.621721,Food Processing Facility,I-1 Light Industrial,81967,8259297.47,Issued,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025199,2025-01-19,2025-12-11,Tulsa,OK,Tulsa,40143,37.172903,-96.121317,Office Park,M-1 Medical District,53006,6192713.93,Issued,Yes,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025200,2025-09-11,2025-10-17,Oklahoma City,OK,Oklahoma,40109,35.32588,-96.558498,Retail Complex,C-1 Neighborhood Commercial,15761,4314528.2,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025201,2025-03-06,2025-05-25,Broken Arrow,OK,Tulsa,40143,37.396619,-97.182714,Data Center,PUD Planned Unit Development,23513,5433658.77,Issued,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025202,2025-03-26,2026-04-23,Broken Arrow,OK,Tulsa,40143,35.368269,-96.793683,Commercial Renovation,PUD Planned Unit Development,39083,3752582.06,Issued,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025203,2026-04-07,2026-10-13,Oklahoma City,OK,Oklahoma,40109,36.655679,-97.074938,Food Processing Facility,I-2 Heavy Industrial,57026,8487204.74,Completed,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025204,2026-06-08,2027-04-24,Broken Arrow,OK,Tulsa,40143,36.257875,-96.168698,Office Park,I-2 Heavy Industrial,9117,2855110.7,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025205,2026-01-06,2027-03-18,Tulsa,OK,Tulsa,40143,37.770374,-95.810689,New Commercial Construction,I-2 Heavy Industrial,46237,4816434.15,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025206,2025-08-15,2026-07-15,Broken Arrow,OK,Tulsa,40143,35.469779,-97.697787,Medical Facility,M-1 Medical District,43354,13294839.54,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025207,2025-03-18,2026-01-14,Wichita,KS,Sedgwick,20173,35.654057,-95.95702,Data Center,PUD Planned Unit Development,29289,2590145.01,Issued,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025208,2026-06-01,2027-08-15,Oklahoma City,OK,Oklahoma,40109,36.185824,-97.025176,Commercial Renovation,I-2 Heavy Industrial,24953,7607318.98,Completed,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025209,2025-02-18,2026-02-18,Oklahoma City,OK,Oklahoma,40109,35.534902,-96.534328,New Commercial Construction,C-1 Neighborhood Commercial,82839,7650552.17,Issued,Yes,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025210,2025-01-25,2026-02-22,Wichita,KS,Sedgwick,20173,36.662461,-96.258364,Warehouse/Distribution,I-2 Heavy Industrial,58840,15244742.08,Completed,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025211,2025-07-31,2027-01-21,Wichita,KS,Sedgwick,20173,36.897149,-97.392124,New Commercial Construction,I-1 Light Industrial,45050,7399866.27,Under Review,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025212,2026-02-08,2026-10-23,Tulsa,OK,Tulsa,40143,37.315232,-96.013372,Office Park,PUD Planned Unit Development,79777,16553136.68,Issued,Yes,Passed,Zone X,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025213,2026-01-17,2026-06-14,Oklahoma City,OK,Oklahoma,40109,37.73991,-97.63962,Industrial Build-Out,I-1 Light Industrial,49819,6598472.42,Completed,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025214,2025-07-29,2026-06-04,Tulsa,OK,Tulsa,40143,36.976028,-96.824453,Food Processing Facility,PUD Planned Unit Development,5214,918239.61,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025215,2025-01-15,2025-05-06,Tulsa,OK,Tulsa,40143,36.580729,-96.285526,Retail Complex,I-2 Heavy Industrial,79680,23829099.33,Issued,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025216,2025-06-13,2026-01-13,Wichita,KS,Sedgwick,20173,36.520518,-96.06348,Medical Facility,PUD Planned Unit Development,62646,8638727.75,Issued,Pending,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025217,2025-04-28,2025-08-13,Broken Arrow,OK,Tulsa,40143,36.423852,-96.618727,Commercial Renovation,PUD Planned Unit Development,44718,11199067.36,Under Review,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025218,2025-01-20,2025-04-18,Broken Arrow,OK,Tulsa,40143,36.5298,-97.250695,Warehouse/Distribution,I-1 Light Industrial,69821,19635667.82,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025219,2026-03-13,2027-03-12,Oklahoma City,OK,Oklahoma,40109,37.543227,-96.390081,Medical Facility,I-1 Light Industrial,33228,10432478.07,Completed,Yes,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025220,2026-01-06,2026-05-26,Norman,OK,Cleveland,40027,35.524236,-97.272793,Data Center,I-2 Heavy Industrial,28410,5405320.54,Issued,Yes,Passed,Zone X,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025221,2025-11-28,2026-02-16,Oklahoma City,OK,Oklahoma,40109,37.153515,-96.464123,Medical Facility,C-2 General Commercial,77761,15620060.62,Issued,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025222,2025-08-19,2026-12-20,Broken Arrow,OK,Tulsa,40143,37.434272,-97.59083,Retail Complex,C-2 General Commercial,2434,653058.61,Completed,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025223,2026-02-28,2026-08-01,Tulsa,OK,Tulsa,40143,36.96614,-97.412201,Commercial Renovation,C-1 Neighborhood Commercial,26338,6662890.81,Under Review,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025224,2025-08-03,2027-01-06,Wichita,KS,Sedgwick,20173,35.62767,-95.870874,Medical Facility,PUD Planned Unit Development,22311,5620769.27,Completed,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025225,2026-03-03,2026-06-23,Norman,OK,Cleveland,40027,36.760089,-96.728402,Mixed-Use Development,C-1 Neighborhood Commercial,31318,7159207.48,Issued,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025226,2025-12-21,2027-01-18,Tulsa,OK,Tulsa,40143,36.728543,-96.519984,Industrial Build-Out,C-2 General Commercial,25008,2969077.33,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025227,2025-05-02,2025-12-13,Tulsa,OK,Tulsa,40143,37.149323,-96.062112,Medical Facility,M-1 Medical District,12196,2202053.5,Completed,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025228,2025-02-18,2025-06-04,Wichita,KS,Sedgwick,20173,37.429539,-97.792246,Warehouse/Distribution,C-2 General Commercial,49388,7883493.92,Completed,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025229,2026-03-25,2026-07-07,Wichita,KS,Sedgwick,20173,36.745361,-96.082634,Data Center,C-1 Neighborhood Commercial,20429,2465426.02,Completed,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025230,2026-04-14,2026-12-19,Norman,OK,Cleveland,40027,37.747877,-96.613392,Medical Facility,PUD Planned Unit Development,71798,14543541.26,Issued,Yes,Passed,Zone X,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025231,2026-02-08,2027-05-10,Norman,OK,Cleveland,40027,37.693065,-97.478182,Industrial Build-Out,I-1 Light Industrial,72939,12751294.45,Completed,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
