record_id,week_start_date,week_end_date,zip_code,city,state,county,facility_name,icd10_code,diagnosis_description,admission_count,er_visit_count,avg_length_of_stay,avg_aqi_for_week,data_source,reporting_period,data_classification,hipaa_compliant,certified
HAR-11028,2025-05-28,2025-06-03,74101,Tulsa,OK,Tulsa,Ascension Via Christi Wichita,J22,Acute lower respiratory infection,6,37,4.0,24.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11029,2025-05-28,2025-06-03,74101,Tulsa,OK,Tulsa,University of Kansas Health System,J45.0,Mild intermittent asthma,10,33,3.2,79.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11030,2025-05-28,2025-06-03,74101,Tulsa,OK,Tulsa,University of Kansas Health System,J45.1,Mild persistent asthma,15,30,2.4,67.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11031,2025-05-28,2025-06-03,74101,Tulsa,OK,Tulsa,University of Kansas Health System,J18.9,"Pneumonia, unspecified",10,27,3.1,71.1,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11032,2025-05-28,2025-06-03,74102,Tulsa,OK,Tulsa,St. Francis Hospital Tulsa,J45.2,Moderate persistent asthma,10,24,3.0,43.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11033,2025-05-28,2025-06-03,74102,Tulsa,OK,Tulsa,St. Francis Hospital Tulsa,J45.1,Mild persistent asthma,6,21,2.7,24.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11034,2025-05-28,2025-06-03,74102,Tulsa,OK,Tulsa,St. Francis Hospital Tulsa,J44.1,COPD with acute exacerbation,10,23,3.0,34.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11035,2025-05-28,2025-06-03,74102,Tulsa,OK,Tulsa,University of Kansas Health System,J45.2,Moderate persistent asthma,16,23,2.0,41.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11036,2025-05-28,2025-06-03,74102,Tulsa,OK,Tulsa,University of Kansas Health System,J18.9,"Pneumonia, unspecified",14,30,3.8,51.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11037,2025-05-28,2025-06-03,74102,Tulsa,OK,Tulsa,University of Kansas Health System,J45.0,Mild intermittent asthma,10,21,4.2,40.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11038,2025-05-28,2025-06-03,67201,Wichita,KS,Sedgwick,Mercy Hospital OKC,J22,Acute lower respiratory infection,14,35,2.4,61.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11039,2025-05-28,2025-06-03,67201,Wichita,KS,Sedgwick,Mercy Hospital OKC,R05,Cough,11,31,3.4,26.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11040,2025-05-28,2025-06-03,67201,Wichita,KS,Sedgwick,Mercy Hospital OKC,J45.1,Mild persistent asthma,19,33,2.6,59.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11041,2025-05-28,2025-06-03,67201,Wichita,KS,Sedgwick,University of Kansas Health System,J44.1,COPD with acute exacerbation,11,23,3.3,42.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11042,2025-05-28,2025-06-03,67201,Wichita,KS,Sedgwick,University of Kansas Health System,J45.1,Mild persistent asthma,13,24,3.5,40.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11043,2025-05-28,2025-06-03,67201,Wichita,KS,Sedgwick,University of Kansas Health System,J45.0,Mild intermittent asthma,12,21,3.8,72.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11044,2025-05-28,2025-06-03,67202,Wichita,KS,Sedgwick,St. Francis Hospital Tulsa,J18.9,"Pneumonia, unspecified",14,17,3.1,48.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11045,2025-05-28,2025-06-03,67202,Wichita,KS,Sedgwick,St. Francis Hospital Tulsa,R05,Cough,13,22,3.9,45.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11046,2025-05-28,2025-06-03,67202,Wichita,KS,Sedgwick,St. Francis Hospital Tulsa,J22,Acute lower respiratory infection,11,28,2.9,46.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11047,2025-05-28,2025-06-03,67202,Wichita,KS,Sedgwick,Wesley Medical Center Wichita,J18.9,"Pneumonia, unspecified",16,29,3.0,65.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11048,2025-05-28,2025-06-03,67202,Wichita,KS,Sedgwick,Wesley Medical Center Wichita,J06.9,Acute upper respiratory infection,14,38,3.4,66.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11049,2025-05-28,2025-06-03,67202,Wichita,KS,Sedgwick,Wesley Medical Center Wichita,R05,Cough,16,27,2.4,7.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11050,2025-05-28,2025-06-03,66101,Kansas City,KS,Wyandotte,Wesley Medical Center Wichita,J06.9,Acute upper respiratory infection,9,21,3.0,38.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11051,2025-05-28,2025-06-03,66101,Kansas City,KS,Wyandotte,Wesley Medical Center Wichita,R05,Cough,12,22,2.0,24.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11052,2025-05-28,2025-06-03,66101,Kansas City,KS,Wyandotte,Wesley Medical Center Wichita,J44.1,COPD with acute exacerbation,9,28,3.4,71.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11053,2025-05-28,2025-06-03,66101,Kansas City,KS,Wyandotte,St. Francis Hospital Tulsa,J06.9,Acute upper respiratory infection,12,26,2.0,43.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11054,2025-05-28,2025-06-03,66101,Kansas City,KS,Wyandotte,St. Francis Hospital Tulsa,J45.2,Moderate persistent asthma,18,30,2.2,57.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11055,2025-05-28,2025-06-03,66101,Kansas City,KS,Wyandotte,St. Francis Hospital Tulsa,J44.1,COPD with acute exacerbation,9,18,3.3,29.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11056,2025-06-04,2025-06-10,73101,Oklahoma City,OK,Oklahoma,Ascension Via Christi Wichita,J44.1,COPD with acute exacerbation,16,31,3.3,38.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11057,2025-06-04,2025-06-10,73101,Oklahoma City,OK,Oklahoma,Ascension Via Christi Wichita,J18.9,"Pneumonia, unspecified",12,40,3.4,55.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11058,2025-06-04,2025-06-10,73101,Oklahoma City,OK,Oklahoma,Ascension Via Christi Wichita,J22,Acute lower respiratory infection,16,39,4.5,45.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11059,2025-06-04,2025-06-10,73101,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J44.1,COPD with acute exacerbation,13,28,2.2,60.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11060,2025-06-04,2025-06-10,73101,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J06.9,Acute upper respiratory infection,11,32,3.6,44.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11061,2025-06-04,2025-06-10,73101,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J22,Acute lower respiratory infection,17,35,3.0,53.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11062,2025-06-04,2025-06-10,73102,Oklahoma City,OK,Oklahoma,OU Health University Hospital,J06.9,Acute upper respiratory infection,16,38,3.8,19.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11063,2025-06-04,2025-06-10,73102,Oklahoma City,OK,Oklahoma,OU Health University Hospital,J45.2,Moderate persistent asthma,5,32,5.3,51.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11064,2025-06-04,2025-06-10,73102,Oklahoma City,OK,Oklahoma,OU Health University Hospital,R05,Cough,9,37,3.2,31.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11065,2025-06-04,2025-06-10,73102,Oklahoma City,OK,Oklahoma,St. Francis Hospital Tulsa,R05,Cough,15,30,3.7,39.1,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11066,2025-06-04,2025-06-10,73102,Oklahoma City,OK,Oklahoma,St. Francis Hospital Tulsa,J45.1,Mild persistent asthma,7,43,3.0,68.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11067,2025-06-04,2025-06-10,73102,Oklahoma City,OK,Oklahoma,St. Francis Hospital Tulsa,J45.0,Mild intermittent asthma,19,30,2.0,42.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11068,2025-06-04,2025-06-10,73103,Oklahoma City,OK,Oklahoma,OU Health University Hospital,J45.2,Moderate persistent asthma,19,23,2.6,42.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11069,2025-06-04,2025-06-10,73103,Oklahoma City,OK,Oklahoma,OU Health University Hospital,R05,Cough,18,26,3.7,20.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11070,2025-06-04,2025-06-10,73103,Oklahoma City,OK,Oklahoma,OU Health University Hospital,J44.1,COPD with acute exacerbation,8,36,3.3,29.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11071,2025-06-04,2025-06-10,73103,Oklahoma City,OK,Oklahoma,Mercy Hospital OKC,J06.9,Acute upper respiratory infection,18,36,3.8,61.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11072,2025-06-04,2025-06-10,73103,Oklahoma City,OK,Oklahoma,Mercy Hospital OKC,J45.1,Mild persistent asthma,13,30,2.6,68.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11073,2025-06-04,2025-06-10,73103,Oklahoma City,OK,Oklahoma,Mercy Hospital OKC,J45.0,Mild intermittent asthma,15,29,2.6,44.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11074,2025-06-04,2025-06-10,74101,Tulsa,OK,Tulsa,OU Health University Hospital,J45.2,Moderate persistent asthma,6,32,2.3,61.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11075,2025-06-04,2025-06-10,74101,Tulsa,OK,Tulsa,OU Health University Hospital,J44.1,COPD with acute exacerbation,14,18,4.2,37.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11076,2025-06-04,2025-06-10,74101,Tulsa,OK,Tulsa,OU Health University Hospital,J45.0,Mild intermittent asthma,10,33,5.1,31.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11077,2025-06-04,2025-06-10,74101,Tulsa,OK,Tulsa,Wesley Medical Center Wichita,J22,Acute lower respiratory infection,14,44,5.6,33.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11078,2025-06-04,2025-06-10,74101,Tulsa,OK,Tulsa,Wesley Medical Center Wichita,J06.9,Acute upper respiratory infection,9,33,3.6,63.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11079,2025-06-04,2025-06-10,74101,Tulsa,OK,Tulsa,Wesley Medical Center Wichita,J44.1,COPD with acute exacerbation,9,27,2.2,69.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11080,2025-06-04,2025-06-10,74102,Tulsa,OK,Tulsa,St. Francis Hospital Tulsa,J44.1,COPD with acute exacerbation,17,24,2.2,44.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11081,2025-06-04,2025-06-10,74102,Tulsa,OK,Tulsa,St. Francis Hospital Tulsa,J45.0,Mild intermittent asthma,8,19,3.2,45.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11082,2025-06-04,2025-06-10,74102,Tulsa,OK,Tulsa,St. Francis Hospital Tulsa,R05,Cough,10,23,3.6,62.1,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11083,2025-06-04,2025-06-10,74102,Tulsa,OK,Tulsa,Ascension Via Christi Wichita,J44.1,COPD with acute exacerbation,14,33,2.2,65.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11084,2025-06-04,2025-06-10,74102,Tulsa,OK,Tulsa,Ascension Via Christi Wichita,J18.9,"Pneumonia, unspecified",16,19,3.1,24.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11085,2025-06-04,2025-06-10,74102,Tulsa,OK,Tulsa,Ascension Via Christi Wichita,J22,Acute lower respiratory infection,16,40,2.4,49.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11086,2025-06-04,2025-06-10,67201,Wichita,KS,Sedgwick,Mercy Hospital OKC,J44.1,COPD with acute exacerbation,20,28,3.4,39.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11087,2025-06-04,2025-06-10,67201,Wichita,KS,Sedgwick,Mercy Hospital OKC,J22,Acute lower respiratory infection,8,31,2.3,56.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11088,2025-06-04,2025-06-10,67201,Wichita,KS,Sedgwick,Mercy Hospital OKC,R05,Cough,13,41,1.4,47.1,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11089,2025-06-04,2025-06-10,67201,Wichita,KS,Sedgwick,OU Health University Hospital,J18.9,"Pneumonia, unspecified",16,27,3.1,52.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11090,2025-06-04,2025-06-10,67201,Wichita,KS,Sedgwick,OU Health University Hospital,J45.0,Mild intermittent asthma,16,24,4.4,43.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11091,2025-06-04,2025-06-10,67201,Wichita,KS,Sedgwick,OU Health University Hospital,J06.9,Acute upper respiratory infection,15,34,3.5,38.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11092,2025-06-04,2025-06-10,67202,Wichita,KS,Sedgwick,St. Francis Hospital Tulsa,J45.2,Moderate persistent asthma,15,23,1.6,51.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11093,2025-06-04,2025-06-10,67202,Wichita,KS,Sedgwick,St. Francis Hospital Tulsa,J06.9,Acute upper respiratory infection,8,30,4.0,56.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11094,2025-06-04,2025-06-10,67202,Wichita,KS,Sedgwick,St. Francis Hospital Tulsa,J18.9,"Pneumonia, unspecified",15,29,3.1,47.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11095,2025-06-04,2025-06-10,67202,Wichita,KS,Sedgwick,Ascension Via Christi Wichita,J18.9,"Pneumonia, unspecified",12,43,2.3,48.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11096,2025-06-04,2025-06-10,67202,Wichita,KS,Sedgwick,Ascension Via Christi Wichita,J44.1,COPD with acute exacerbation,14,43,3.0,61.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11097,2025-06-04,2025-06-10,67202,Wichita,KS,Sedgwick,Ascension Via Christi Wichita,J22,Acute lower respiratory infection,12,28,3.1,42.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11098,2025-06-04,2025-06-10,66101,Kansas City,KS,Wyandotte,Ascension Via Christi Wichita,J45.2,Moderate persistent asthma,15,30,3.7,26.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11099,2025-06-04,2025-06-10,66101,Kansas City,KS,Wyandotte,Ascension Via Christi Wichita,J22,Acute lower respiratory infection,10,37,2.8,45.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11100,2025-06-04,2025-06-10,66101,Kansas City,KS,Wyandotte,Ascension Via Christi Wichita,J06.9,Acute upper respiratory infection,15,42,3.6,22.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11101,2025-06-04,2025-06-10,66101,Kansas City,KS,Wyandotte,Mercy Hospital OKC,J45.1,Mild persistent asthma,18,41,2.9,38.1,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11102,2025-06-04,2025-06-10,66101,Kansas City,KS,Wyandotte,Mercy Hospital OKC,J44.1,COPD with acute exacerbation,18,43,2.9,6.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11103,2025-06-04,2025-06-10,66101,Kansas City,KS,Wyandotte,Mercy Hospital OKC,J06.9,Acute upper respiratory infection,11,44,1.6,42.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11104,2025-06-11,2025-06-17,73101,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J45.1,Mild persistent asthma,17,25,3.7,45.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11105,2025-06-11,2025-06-17,73101,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J45.2,Moderate persistent asthma,11,31,3.0,35.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11106,2025-06-11,2025-06-17,73101,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J44.1,COPD with acute exacerbation,11,37,3.5,60.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11107,2025-06-11,2025-06-17,73101,Oklahoma City,OK,Oklahoma,St. Francis Hospital Tulsa,J45.1,Mild persistent asthma,10,32,2.6,50.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11108,2025-06-11,2025-06-17,73101,Oklahoma City,OK,Oklahoma,St. Francis Hospital Tulsa,J18.9,"Pneumonia, unspecified",22,32,3.2,42.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11109,2025-06-11,2025-06-17,73101,Oklahoma City,OK,Oklahoma,St. Francis Hospital Tulsa,J06.9,Acute upper respiratory infection,12,33,2.8,52.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11110,2025-06-11,2025-06-17,73102,Oklahoma City,OK,Oklahoma,OU Health University Hospital,J45.0,Mild intermittent asthma,12,49,3.7,45.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11111,2025-06-11,2025-06-17,73102,Oklahoma City,OK,Oklahoma,OU Health University Hospital,J06.9,Acute upper respiratory infection,17,30,3.0,49.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11112,2025-06-11,2025-06-17,73102,Oklahoma City,OK,Oklahoma,OU Health University Hospital,R05,Cough,14,29,3.0,61.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11113,2025-06-11,2025-06-17,73102,Oklahoma City,OK,Oklahoma,St. Francis Hospital Tulsa,J45.1,Mild persistent asthma,14,22,2.7,47.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11114,2025-06-11,2025-06-17,73102,Oklahoma City,OK,Oklahoma,St. Francis Hospital Tulsa,R05,Cough,17,42,2.5,59.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11115,2025-06-11,2025-06-17,73102,Oklahoma City,OK,Oklahoma,St. Francis Hospital Tulsa,J18.9,"Pneumonia, unspecified",10,34,3.7,30.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11116,2025-06-11,2025-06-17,73103,Oklahoma City,OK,Oklahoma,Mercy Hospital OKC,J22,Acute lower respiratory infection,12,31,2.8,49.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11117,2025-06-11,2025-06-17,73103,Oklahoma City,OK,Oklahoma,Mercy Hospital OKC,J45.2,Moderate persistent asthma,17,24,3.1,41.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11118,2025-06-11,2025-06-17,73103,Oklahoma City,OK,Oklahoma,Mercy Hospital OKC,J45.1,Mild persistent asthma,14,38,3.9,52.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11119,2025-06-11,2025-06-17,73103,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J45.0,Mild intermittent asthma,11,14,3.0,46.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11120,2025-06-11,2025-06-17,73103,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,R05,Cough,21,31,4.0,35.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11121,2025-06-11,2025-06-17,73103,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J22,Acute lower respiratory infection,18,31,4.1,70.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11122,2025-06-11,2025-06-17,74101,Tulsa,OK,Tulsa,OU Health University Hospital,J18.9,"Pneumonia, unspecified",12,43,3.0,65.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11123,2025-06-11,2025-06-17,74101,Tulsa,OK,Tulsa,OU Health University Hospital,J44.1,COPD with acute exacerbation,9,30,2.6,52.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11124,2025-06-11,2025-06-17,74101,Tulsa,OK,Tulsa,OU Health University Hospital,J45.2,Moderate persistent asthma,10,25,2.2,67.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11125,2025-06-11,2025-06-17,74101,Tulsa,OK,Tulsa,St. Francis Hospital Tulsa,R05,Cough,14,35,4.1,45.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11126,2025-06-11,2025-06-17,74101,Tulsa,OK,Tulsa,St. Francis Hospital Tulsa,J45.0,Mild intermittent asthma,15,34,2.4,46.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11127,2025-06-11,2025-06-17,74101,Tulsa,OK,Tulsa,St. Francis Hospital Tulsa,J18.9,"Pneumonia, unspecified",11,31,2.8,85.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11128,2025-06-11,2025-06-17,74102,Tulsa,OK,Tulsa,Mercy Hospital OKC,J06.9,Acute upper respiratory infection,19,32,2.4,66.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11129,2025-06-11,2025-06-17,74102,Tulsa,OK,Tulsa,Mercy Hospital OKC,J22,Acute lower respiratory infection,18,37,4.5,23.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11130,2025-06-11,2025-06-17,74102,Tulsa,OK,Tulsa,Mercy Hospital OKC,J45.1,Mild persistent asthma,11,41,2.0,48.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11131,2025-06-11,2025-06-17,74102,Tulsa,OK,Tulsa,Ascension Via Christi Wichita,J22,Acute lower respiratory infection,11,34,3.1,38.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11132,2025-06-11,2025-06-17,74102,Tulsa,OK,Tulsa,Ascension Via Christi Wichita,J45.1,Mild persistent asthma,15,31,3.6,53.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11133,2025-06-11,2025-06-17,74102,Tulsa,OK,Tulsa,Ascension Via Christi Wichita,J18.9,"Pneumonia, unspecified",17,22,3.7,29.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11134,2025-06-11,2025-06-17,67201,Wichita,KS,Sedgwick,St. Francis Hospital Tulsa,J06.9,Acute upper respiratory infection,19,25,2.1,48.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11135,2025-06-11,2025-06-17,67201,Wichita,KS,Sedgwick,St. Francis Hospital Tulsa,J45.1,Mild persistent asthma,7,36,3.1,61.1,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11136,2025-06-11,2025-06-17,67201,Wichita,KS,Sedgwick,St. Francis Hospital Tulsa,J22,Acute lower respiratory infection,8,57,3.5,64.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11137,2025-06-11,2025-06-17,67201,Wichita,KS,Sedgwick,University of Kansas Health System,J22,Acute lower respiratory infection,9,46,3.8,33.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11138,2025-06-11,2025-06-17,67201,Wichita,KS,Sedgwick,University of Kansas Health System,J45.1,Mild persistent asthma,12,29,3.8,32.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11139,2025-06-11,2025-06-17,67201,Wichita,KS,Sedgwick,University of Kansas Health System,J45.2,Moderate persistent asthma,18,24,2.4,42.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11140,2025-06-11,2025-06-17,67202,Wichita,KS,Sedgwick,OU Health University Hospital,J45.0,Mild intermittent asthma,9,39,3.9,44.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11141,2025-06-11,2025-06-17,67202,Wichita,KS,Sedgwick,OU Health University Hospital,J18.9,"Pneumonia, unspecified",13,33,3.7,10.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11142,2025-06-11,2025-06-17,67202,Wichita,KS,Sedgwick,OU Health University Hospital,R05,Cough,22,38,3.0,34.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11143,2025-06-11,2025-06-17,67202,Wichita,KS,Sedgwick,Wesley Medical Center Wichita,J45.1,Mild persistent asthma,8,26,4.3,11.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11144,2025-06-11,2025-06-17,67202,Wichita,KS,Sedgwick,Wesley Medical Center Wichita,R05,Cough,13,49,3.3,62.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11145,2025-06-11,2025-06-17,67202,Wichita,KS,Sedgwick,Wesley Medical Center Wichita,J22,Acute lower respiratory infection,20,38,5.3,37.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-11146,2025-06-11,2025-06-17,66101,Kansas City,KS,Wyandotte,OU Health University Hospital,J45.2,Moderate persistent asthma,15,40,2.7,55.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
