order_id,order_date,ship_date,customer_name,customer_id,state,product_description,quantity,unit_price,discount_rate,subtotal,discount_amount,order_total,payment_terms,payment_received,sales_rep,order_category
ORD-5141,2024-07-19,2024-07-22,KC Farm & Feed,AG-1067,IA,Anhydrous Ammonia,32,371.07,0.0,11874.24,0.0,11874.24,Credit Card,Yes,B. Callahan,Spring Planting
ORD-5142,2024-07-03,2024-07-06,Prairie Land Co-op,AG-1002,KS,Grain Auger,27,353.77,0.0,9551.79,0.0,9551.79,Credit Card,Yes,B. Callahan,Spring Planting
ORD-5143,2024-01-08,2024-01-11,KC Farm & Feed,AG-1010,KS,Corn Seed (50lb bag),26,473.09,0.1,12300.34,1230.03,11070.31,Credit Card,Yes,A. Okafor,Fall Planting
ORD-5144,2024-05-22,2024-05-23,Missouri Valley Growers,AG-1039,MO,Irrigation Equipment,14,868.29,0.0,12156.06,0.0,12156.06,Net 60,Yes,B. Callahan,Emergency
ORD-5145,2024-05-02,2024-05-03,Missouri Valley Growers,AG-1015,KS,Herbicide Concentrate,8,428.1,0.1,3424.8,342.48,3082.32,Net 30,Yes,S. Nguyen,Spring Planting
ORD-5146,2024-12-28,2024-12-30,KC Farm & Feed,AG-1095,IA,Winter Wheat Seed,32,850.3,0.1,27209.6,2720.96,24488.64,Net 60,Yes,S. Nguyen,Maintenance
ORD-5147,2024-03-01,2024-03-08,Gateway Agricultural,AG-1007,KS,Herbicide Concentrate,18,487.66,0.0,8777.88,0.0,8777.88,Net 30,Yes,T. Morrison,Emergency
ORD-5148,2024-10-17,2024-10-19,Sunflower Ag Supply,AG-1005,MO,Urea Fertilizer,50,131.95,0.1,6597.5,659.75,5937.75,Net 30,Yes,B. Callahan,Spring Planting
ORD-5149,2024-05-05,2024-05-06,Gateway Agricultural,AG-1053,MO,Herbicide Concentrate,10,196.22,0.0,1962.2,0.0,1962.2,Credit Card,Yes,S. Nguyen,Maintenance
ORD-5150,2024-05-18,2024-05-25,Hawkeye Farm Supply,AG-1051,KS,Potash,8,469.22,0.0,3753.76,0.0,3753.76,Net 30,Yes,B. Callahan,Spring Planting
ORD-5151,2024-08-26,2024-09-02,Iowa Crop Solutions,AG-1094,MO,Potash,6,512.36,0.0,3074.16,0.0,3074.16,Net 60,Yes,T. Morrison,Fall Planting
ORD-5152,2024-08-25,2024-08-28,Midwest Grain Partners,AG-1003,IA,Anhydrous Ammonia,47,805.87,0.0,37875.89,0.0,37875.89,Net 30,No,A. Okafor,Fall Planting
ORD-5153,2024-10-04,2024-10-07,Tallgrass Farm Group,AG-1053,IA,Corn Seed (50lb bag),22,46.24,0.05,1017.28,50.86,966.42,Net 60,Yes,S. Nguyen,Emergency
ORD-5154,2024-01-31,2024-02-02,Iowa Crop Solutions,AG-1058,IA,Soybean Seed (50lb bag),3,823.48,0.1,2470.44,247.04,2223.4,Credit Card,Yes,T. Morrison,Spring Planting
ORD-5155,2024-10-24,2024-10-25,Sunflower Ag Supply,AG-1030,IA,Herbicide Concentrate,5,545.15,0.0,2725.75,0.0,2725.75,Credit Card,Yes,S. Nguyen,Maintenance
ORD-5156,2024-05-13,2024-05-20,Prairie Land Co-op,AG-1099,MO,Potash,21,427.58,0.0,8979.18,0.0,8979.18,Net 30,Yes,S. Nguyen,Spring Planting
ORD-5157,2024-03-20,2024-03-21,Midwest Grain Partners,AG-1057,KS,Fungicide Spray,21,388.5,0.1,8158.5,815.85,7342.65,Net 60,Yes,S. Nguyen,Maintenance
ORD-5158,2024-08-25,2024-08-28,Missouri Valley Growers,AG-1018,KS,Winter Wheat Seed,44,302.06,0.1,13290.64,1329.06,11961.58,Net 30,Yes,T. Morrison,Spring Planting
ORD-5159,2024-12-30,2025-01-01,Prairie Land Co-op,AG-1057,MO,Irrigation Equipment,4,617.22,0.0,2468.88,0.0,2468.88,Net 30,No,A. Okafor,Fall Planting
ORD-5160,2024-02-18,2024-02-22,Sunflower Ag Supply,AG-1047,KS,Soybean Seed (50lb bag),1,97.11,0.0,97.11,0.0,97.11,Net 30,Yes,A. Okafor,Spring Planting
ORD-5161,2024-10-25,2024-10-30,Missouri Valley Growers,AG-1015,MO,Corn Seed (50lb bag),5,212.1,0.05,1060.5,53.03,1007.47,Net 30,Yes,T. Morrison,Spring Planting
ORD-5162,2024-08-24,2024-08-25,Hawkeye Farm Supply,AG-1045,KS,Herbicide Concentrate,47,378.77,0.0,17802.19,0.0,17802.19,Credit Card,Yes,S. Nguyen,Fall Planting
ORD-5163,2024-04-05,2024-04-08,Midwest Grain Partners,AG-1052,MO,Winter Wheat Seed,3,563.92,0.1,1691.76,169.18,1522.58,Net 30,Yes,A. Okafor,Emergency
ORD-5164,2024-02-01,2024-02-02,Prairie Land Co-op,AG-1048,MO,Winter Wheat Seed,27,213.54,0.1,5765.58,576.56,5189.02,Net 30,Yes,B. Callahan,Maintenance
ORD-5165,2024-09-02,2024-09-07,Gateway Agricultural,AG-1003,MO,Grain Auger,33,316.76,0.0,10453.08,0.0,10453.08,Net 30,No,S. Nguyen,Maintenance
ORD-5166,2024-01-30,2024-02-06,Show-Me Ag Dist.,AG-1034,MO,Potash,50,538.47,0.0,26923.5,0.0,26923.5,Net 30,Yes,S. Nguyen,Spring Planting
ORD-5167,2024-04-22,2024-04-27,Gateway Agricultural,AG-1090,MO,Winter Wheat Seed,12,244.89,0.0,2938.68,0.0,2938.68,Net 60,Yes,B. Callahan,Maintenance
ORD-5168,2024-10-17,2024-10-22,Hawkeye Farm Supply,AG-1029,KS,Anhydrous Ammonia,32,503.1,0.0,16099.2,0.0,16099.2,Credit Card,No,B. Callahan,Fall Planting
ORD-5169,2024-01-11,2024-01-16,KC Farm & Feed,AG-1007,MO,Potash,40,215.24,0.0,8609.6,0.0,8609.6,Net 60,Yes,T. Morrison,Spring Planting
ORD-5170,2024-03-16,2024-03-21,Sunflower Ag Supply,AG-1075,IA,Soybean Seed (50lb bag),34,772.27,0.0,26257.18,0.0,26257.18,Net 60,Yes,A. Okafor,Spring Planting
ORD-5171,2024-06-21,2024-06-24,Sunflower Ag Supply,AG-1028,MO,Winter Wheat Seed,47,846.65,0.05,39792.55,1989.63,37802.92,Net 60,Yes,T. Morrison,Fall Planting
ORD-5172,2024-07-12,2024-07-15,Tallgrass Farm Group,AG-1023,IA,Urea Fertilizer,9,195.16,0.0,1756.44,0.0,1756.44,Credit Card,Yes,B. Callahan,Maintenance
ORD-5173,2024-11-09,2024-11-11,Hawkeye Farm Supply,AG-1021,IA,Soybean Seed (50lb bag),32,163.84,0.0,5242.88,0.0,5242.88,Net 30,Yes,T. Morrison,Spring Planting
ORD-5174,2024-12-28,2025-01-03,Tallgrass Farm Group,AG-1032,IA,Potash,29,54.63,0.0,1584.27,0.0,1584.27,Net 30,Yes,T. Morrison,Spring Planting
ORD-5175,2024-01-01,2024-01-02,Midwest Grain Partners,AG-1012,MO,Herbicide Concentrate,11,792.45,0.05,8716.95,435.85,8281.1,Credit Card,Yes,A. Okafor,Emergency
ORD-5176,2024-10-22,2024-10-28,Flint Hills Farms,AG-1013,IA,Winter Wheat Seed,29,107.28,0.0,3111.12,0.0,3111.12,Net 60,No,T. Morrison,Spring Planting
ORD-5177,2024-06-24,2024-06-26,Sunflower Ag Supply,AG-1090,MO,Soybean Seed (50lb bag),36,840.85,0.0,30270.6,0.0,30270.6,Net 60,Yes,A. Okafor,Spring Planting
ORD-5178,2024-08-08,2024-08-14,Hawkeye Farm Supply,AG-1089,KS,Herbicide Concentrate,11,90.25,0.0,992.75,0.0,992.75,Net 30,Yes,A. Okafor,Maintenance
ORD-5179,2024-12-04,2024-12-07,Flint Hills Farms,AG-1000,MO,Soybean Seed (50lb bag),4,377.0,0.1,1508.0,150.8,1357.2,Credit Card,Yes,T. Morrison,Emergency
ORD-5180,2024-02-14,2024-02-17,Border Plains Ag,AG-1010,IA,Grain Auger,31,213.73,0.0,6625.63,0.0,6625.63,Net 30,Yes,T. Morrison,Emergency
ORD-5181,2024-02-29,2024-03-03,Midwest Grain Partners,AG-1047,MO,Fungicide Spray,43,268.93,0.1,11563.99,1156.4,10407.59,Credit Card,Yes,A. Okafor,Fall Planting
ORD-5182,2024-08-16,2024-08-17,Midwest Grain Partners,AG-1010,MO,Fungicide Spray,17,236.17,0.0,4014.89,0.0,4014.89,Net 30,Yes,B. Callahan,Maintenance
ORD-5183,2024-10-04,2024-10-08,Flint Hills Farms,AG-1073,IA,Irrigation Equipment,4,755.47,0.1,3021.88,302.19,2719.69,Credit Card,Yes,A. Okafor,Fall Planting
ORD-5184,2024-08-31,2024-09-03,Prairie Land Co-op,AG-1022,KS,Corn Seed (50lb bag),33,527.68,0.1,17413.44,1741.34,15672.1,Net 30,Yes,A. Okafor,Fall Planting
ORD-5185,2024-04-18,2024-04-25,Sunflower Ag Supply,AG-1076,KS,Corn Seed (50lb bag),28,111.22,0.05,3114.16,155.71,2958.45,Net 30,Yes,S. Nguyen,Maintenance
ORD-5186,2024-06-12,2024-06-18,Missouri Valley Growers,AG-1089,KS,Herbicide Concentrate,36,380.76,0.0,13707.36,0.0,13707.36,Net 60,Yes,B. Callahan,Emergency
ORD-5187,2024-02-27,2024-03-02,Sunflower Ag Supply,AG-1036,KS,Grain Auger,38,537.36,0.0,20419.68,0.0,20419.68,Net 30,Yes,B. Callahan,Maintenance
ORD-5188,2024-07-29,2024-08-01,Border Plains Ag,AG-1079,MO,Fungicide Spray,37,559.57,0.0,20704.09,0.0,20704.09,Net 30,Yes,S. Nguyen,Emergency
ORD-5189,2024-01-20,2024-01-24,Tallgrass Farm Group,AG-1039,MO,Anhydrous Ammonia,4,675.16,0.0,2700.64,0.0,2700.64,Net 60,No,T. Morrison,Maintenance
ORD-5190,2024-09-08,2024-09-15,Border Plains Ag,AG-1077,IA,Soybean Seed (50lb bag),15,158.56,0.05,2378.4,118.92,2259.48,Net 60,Yes,A. Okafor,Spring Planting
ORD-5191,2024-04-06,2024-04-10,Prairie Land Co-op,AG-1008,KS,Fungicide Spray,49,481.44,0.0,23590.56,0.0,23590.56,Net 30,Yes,S. Nguyen,Maintenance
ORD-5192,2024-12-29,2025-01-03,Sunflower Ag Supply,AG-1004,MO,Irrigation Equipment,37,69.46,0.0,2570.02,0.0,2570.02,Net 30,Yes,S. Nguyen,Emergency
ORD-5193,2024-01-26,2024-01-29,Flint Hills Farms,AG-1087,IA,Urea Fertilizer,24,740.86,0.1,17780.64,1778.06,16002.58,Credit Card,Yes,B. Callahan,Spring Planting
ORD-5194,2024-05-03,2024-05-06,Hawkeye Farm Supply,AG-1095,MO,Fungicide Spray,12,856.64,0.05,10279.68,513.98,9765.7,Net 60,Yes,T. Morrison,Spring Planting
ORD-5195,2024-05-25,2024-05-26,KC Farm & Feed,AG-1034,MO,Winter Wheat Seed,37,703.96,0.0,26046.52,0.0,26046.52,Net 30,Yes,S. Nguyen,Emergency
ORD-5196,2024-09-19,2024-09-20,KC Farm & Feed,AG-1091,IA,Fungicide Spray,9,592.03,0.1,5328.27,532.83,4795.44,Net 30,Yes,T. Morrison,Maintenance
ORD-5197,2024-08-04,2024-08-08,Midwest Grain Partners,AG-1065,MO,Urea Fertilizer,14,439.36,0.1,6151.04,615.1,5535.94,Credit Card,Yes,B. Callahan,Maintenance
ORD-5198,2024-10-14,2024-10-20,Hawkeye Farm Supply,AG-1081,IA,Urea Fertilizer,20,623.33,0.05,12466.6,623.33,11843.27,Net 30,Yes,T. Morrison,Maintenance
ORD-5199,2024-05-21,2024-05-24,Tallgrass Farm Group,AG-1084,IA,Urea Fertilizer,13,171.69,0.0,2231.97,0.0,2231.97,Net 30,Yes,A. Okafor,Maintenance
